Gene	Antibody Count
PHPT1	0
ENTPD2	0
LY75	59
ARID4B	0
OPN3	1
SDCCAG8	1
PTPRN	3
HHAT	0
KIF1B	0
FOXC1	9
TBC1D22A	0
SYNE2	4
PLEKHH1	0
ATP9A	5
SPO11	0
CBLN4	0
CHRDL2	0
FAM168A	0
RELT	9
GALC	2
NOP58	2
SZRD1	0
KCNH2	0
CUL1	19
FAM114A2	0
CYFIP2	4
TAB2	4
GINM1	0
EIF2AK2	49
USP36	5
KMT2C	0
MCOLN3	0
CCDC85A	0
PUM2	29
MRPL43	0
ITIH4	21
ITIH1	1
HPF1	0
ZFR	0
ZNF280C	0
NPFFR2	0
PHF21B	7
TRAF1	8
RC3H2	0
IL17RB	10
TRAF3IP2	7
GYG2	6
DCBLD2	1
SERPINB3	34
SOAT1	35
PKP2	1
MSH4	1
F7	41
GDI2	2
PRDM1	28
ATG5	36
TMCC3	0
PITHD1	0
MTA3	18
USP13	6
ATP11B	5
LAMC2	9
CDK14	1
SEC61A1	2
PPP1R12A	399
RASGRF1	2
CAMK2B	47
CROCC	5
POLR3E	3
ATP2B4	10
ZC3H11A	0
RIOK2	7
YIPF1	0
NDC1	1
DGKG	0
FLYWCH1	0
UNKL	0
TBXAS1	60
PARP12	0
ALDH18A1	8
TARBP1	1
GATB	0
MXD1	27
CDK17	1
DNAJC25	0
SLC2A3	4
PSD	3
CTDP1	3
YBX3	20
STYK1	22
WNK1	61
CCAR1	12
OGFR	0
GNA15	2
CREB3L3	0
PIGV	1
PTPRU	3
SNRNP40	0
RIMBP2	3
COL11A1	1
QSER1	0
MPC1	0
ACAA1	6
BCAT1	5
HDAC7	17
LZTS1	5
PRDM6	0
WNT8A	0
SPAG4	3
NCKAP1	1
MRPS35	2
GUCY1B1	13
SFSWAP	0
TNK2	3
MON2	0
CDH3	25
ARSF	5
GPBP1	0
DGAT2	1
ZNF112	0
CS	78
LTK	0
MRPS24	0
ELMO2	8
WAPL	7
VMP1	1
APPBP2	3
POLD1	18
SEZ6	0
EIF4B	13
SLC6A16	1
BICRA	0
SPHK2	0
RPL18	5
CA11	0
ISOC2	0
U2AF2	8
EPN1	9
MED29	0
AHRR	0
GSC2	0
ZNF275	0
MTMR1	2
GPC1	3
ADCK1	2
HAGH	7
RNF4	0
CASP8	118
LIMCH1	0
INTS13	0
TM7SF3	0
DLX3	19
SPA17	41
TSPAN32	11
WISP2	10
DMRT3	0
ST3GAL6	0
ATP2C2	1
NGFR	63
CDON	1
TAF2	1
HIPK2	20
TNPO3	7
BORCS8-MEF2B	0
RFXANK	15
TMEM161A	0
LPAR2	2
CTSA	237
SUGP2	1
SLC12A2	2
SNX24	1
EYA2	9
CNN2	4
ABCA7	2
SNCAIP	5
DDX20	12
BTBD1	10
FAR2	0
BCAS1	9
POU1F1	6
CHI3L2	0
SBNO2	3
PMS1	7
HMG20B	10
CALCRL	0
TAF11	23
ANKS1A	6
AP3D1	0
